[1/10/2021 1:05:25 PM] : 	microservice: Avio		 class: StartFlightConsumer
[1/10/2021 1:05:25 PM] : 	microservice: Car		 class: StartCarConsumer
[1/10/2021 1:05:25 PM] : 	microservice: Hotel		 class: StartHotelConsumer
[1/10/2021 1:05:25 PM] : 	microservice: Payment		 class: StartPaymentConsumer
[1/10/2021 1:05:36 PM] : 	microservice: Avio		 class: StartFlightConsumer
[1/10/2021 1:05:36 PM] : 	microservice: Car		 class: StartCarConsumer
[1/10/2021 1:05:36 PM] : 	microservice: Hotel		 class: StartHotelConsumer
[1/10/2021 1:05:36 PM] : 	microservice: Payment		 class: StartPaymentConsumer
[1/10/2021 1:05:52 PM] : 	microservice: Avio		 class: StartFlightConsumer
[1/10/2021 1:05:53 PM] : 	microservice: Car		 class: StartCarConsumer
[1/10/2021 1:05:53 PM] : 	microservice: Hotel		 class: StartHotelConsumer
[1/10/2021 1:05:53 PM] : 	microservice: Payment		 class: StartPaymentConsumer
[1/10/2021 1:06:04 PM] : 	microservice: Avio		 class: StartFlightConsumer
[1/10/2021 1:06:04 PM] : 	microservice: Car		 class: StartCarConsumer
[1/10/2021 1:06:04 PM] : 	microservice: Hotel		 class: StartHotelConsumer
[1/10/2021 1:06:04 PM] : 	microservice: Payment		 class: StartPaymentConsumer
[1/10/2021 1:06:16 PM] : 	microservice: Avio		 class: StartFlightConsumer
[1/10/2021 1:06:16 PM] : 	microservice: Car		 class: StartCarConsumer
[1/10/2021 1:06:17 PM] : 	microservice: Hotel		 class: StartHotelConsumer
[1/10/2021 1:06:17 PM] : 	microservice: Payment		 class: StartPaymentConsumer
[1/10/2021 1:06:33 PM] : 	microservice: Avio		 class: StartFlightConsumer
[1/10/2021 1:06:33 PM] : 	microservice: Car		 class: StartCarConsumer
[1/10/2021 1:06:33 PM] : 	microservice: Hotel		 class: StartHotelConsumer
[1/10/2021 1:06:33 PM] : 	microservice: Payment		 class: StartPaymentConsumer
[1/10/2021 1:06:44 PM] : 	microservice: Avio		 class: StartFlightConsumer
[1/10/2021 1:06:44 PM] : 	microservice: Car		 class: StartCarConsumer
[1/10/2021 1:06:44 PM] : 	microservice: Avio		 class: FlightCancelledConsumer
[1/10/2021 1:06:56 PM] : 	microservice: Avio		 class: StartFlightConsumer
[1/10/2021 1:06:56 PM] : 	microservice: Car		 class: StartCarConsumer
[1/10/2021 1:06:56 PM] : 	microservice: Hotel		 class: StartHotelConsumer
[1/10/2021 1:06:56 PM] : 	microservice: Car		 class: CarCancelledConsumer
[1/10/2021 1:06:56 PM] : 	microservice: Avio		 class: FlightCancelledConsumer
[1/10/2021 1:07:06 PM] : 	microservice: Avio		 class: StartFlightConsumer
[1/10/2021 1:07:06 PM] : 	microservice: Car		 class: StartCarConsumer
[1/10/2021 1:07:06 PM] : 	microservice: Hotel		 class: StartHotelConsumer
[1/10/2021 1:07:06 PM] : 	microservice: Payment		 class: StartPaymentConsumer
[1/10/2021 1:07:06 PM] : 	microservice: Hotel		 class: HotelCancelledConsumer
[1/10/2021 1:07:06 PM] : 	microservice: Car		 class: CarCancelledConsumer
[1/10/2021 1:07:06 PM] : 	microservice: Avio		 class: FlightCancelledConsumer
[1/10/2021 1:07:11 PM] : 	microservice: Avio		 class: StartFlightConsumer
[1/10/2021 1:07:12 PM] : 	microservice: Car		 class: StartCarConsumer
[1/10/2021 1:07:12 PM] : 	microservice: Hotel		 class: StartHotelConsumer
[1/10/2021 1:07:12 PM] : 	microservice: Payment		 class: StartPaymentConsumer
[1/10/2021 1:07:12 PM] : 	microservice: Hotel		 class: HotelCancelledConsumer
[1/10/2021 1:07:12 PM] : 	microservice: Car		 class: CarCancelledConsumer
[1/10/2021 1:07:12 PM] : 	microservice: Avio		 class: FlightCancelledConsumer
[1/10/2021 1:07:12 PM] : 	microservice: Avio		 class: StartFlightConsumer
[1/10/2021 1:07:13 PM] : 	microservice: Car		 class: StartCarConsumer
[1/10/2021 1:07:13 PM] : 	microservice: Hotel		 class: StartHotelConsumer
[1/10/2021 1:07:13 PM] : 	microservice: Payment		 class: StartPaymentConsumer
[1/10/2021 1:07:13 PM] : 	microservice: Hotel		 class: HotelCancelledConsumer
[1/10/2021 1:07:13 PM] : 	microservice: Car		 class: CarCancelledConsumer
[1/10/2021 1:07:13 PM] : 	microservice: Avio		 class: FlightCancelledConsumer
[1/10/2021 1:07:13 PM] : 	microservice: Avio		 class: StartFlightConsumer
[1/10/2021 1:07:14 PM] : 	microservice: Car		 class: StartCarConsumer
[1/10/2021 1:07:14 PM] : 	microservice: Hotel		 class: StartHotelConsumer
[1/10/2021 1:07:14 PM] : 	microservice: Payment		 class: StartPaymentConsumer
[1/10/2021 1:07:14 PM] : 	microservice: Hotel		 class: HotelCancelledConsumer
[1/10/2021 1:07:14 PM] : 	microservice: Car		 class: CarCancelledConsumer
[1/10/2021 1:07:14 PM] : 	microservice: Avio		 class: FlightCancelledConsumer
[1/10/2021 1:07:14 PM] : 	microservice: Avio		 class: StartFlightConsumer
[1/10/2021 1:07:15 PM] : 	microservice: Car		 class: StartCarConsumer
[1/10/2021 1:07:15 PM] : 	microservice: Hotel		 class: StartHotelConsumer
[1/10/2021 1:07:15 PM] : 	microservice: Payment		 class: StartPaymentConsumer
[1/10/2021 1:07:15 PM] : 	microservice: Hotel		 class: HotelCancelledConsumer
[1/10/2021 1:07:15 PM] : 	microservice: Car		 class: CarCancelledConsumer
[1/10/2021 1:07:15 PM] : 	microservice: Avio		 class: FlightCancelledConsumer
[1/10/2021 1:07:15 PM] : 	microservice: Avio		 class: StartFlightConsumer
[1/10/2021 1:07:16 PM] : 	microservice: Car		 class: StartCarConsumer
[1/10/2021 1:07:16 PM] : 	microservice: Hotel		 class: StartHotelConsumer
[1/10/2021 1:07:16 PM] : 	microservice: Payment		 class: StartPaymentConsumer
[1/10/2021 1:07:16 PM] : 	microservice: Hotel		 class: HotelCancelledConsumer
[1/10/2021 1:07:16 PM] : 	microservice: Car		 class: CarCancelledConsumer
[1/10/2021 1:07:16 PM] : 	microservice: Avio		 class: FlightCancelledConsumer
